Nombre,Precio,Cantidad Ventas,Calificacion Producto,Cantidad Opiniones,Vendedor,Descripcion,Rating Vendedor,Comentarios
Bateria 10 Piezas Antiadherente Talent - Imusa 5861029311,199900,1000,4.8,52,Imusa Home & Cook,"Mantén tus pies cómodos de la mañana a la noche. Estos tenis adidas te permiten moverte con fluidez gracias a su liviana amortiguación Cloudfoam. Los cordones elásticos los hacen fáciles de poner y quitar, mientras que el forro interno suave abraza el pie en su lugar. Elegantes y versátiles, son fáciles de incorporar a tu guardarropa y combinan bien con todo, desde shorts de entrenamiento hasta jeans.PREGUNTAS FRECUENTES:ARTÍCULOS UNISEX ó SIN GENERO• Para calzado, recomendamos revisar la equivalencia en talla americana, US-M (Masculino) | US-F (Femenino), en la guía de tallas.• Para vestuario, las prendas unisex se han diseñado y etiquetado según las tallas para hombre, pero están pensadas para que las use cualquier persona, independientemente de su género. Si normalmente no usas tallas para hombre, tal vez tengas que pedir una talla distinta a la que usas habitualmente. Verifica las medidas que aparecen en la guía de tallas.CAMBIOS Y DEVOLUCIONESSi necesitas hacer una devolución, por favor considera los siguientes puntos:• Tienes hasta 30 días calendario para poder solicitar tu devolución, a partir de la fecha de recepción de tu artículo.•  Si no recibes el artícilo tienes 21 días a partir de la fecha de compra para solicitar el reembolso del dinero.•  No hacemos cambios de talla, únicamente reembolsos de tu dinero. •  No aceptamos devoluciones de cubrebocas, tops deportivos, trajes de baño, bodys, shorts de triatlón, calcetines y ropa interior. •  El producto debe estar nuevo, sin uso, con etiquetas y su caja original. Preferentemente en una bolsa negra donde el producto no sea visible y sellada.Si cumples estos requisitos, es muy fácil iniciar tu devolución, ten en cuenta los siguientes puntos:En el detalle de la compra que realizaste tienes que seleccionar las siguientes opciones:1. “Necesito ayuda”.2. “Quiero devolver el producto?”3. ""Es lo que compré pero no me sirve""4. Finalmente selecciona la opción acorde a tu caso para poder iniciar el proceso de devolución. Mercado Libre generará una etiqueta de envío para que puedas imprimir y pegues en el paquete embolsado en su empaque original o en una bolsa negra bien sellada. Deberás llevar el paquete a la sucursal del Correo que te indicarán en la etiqueta.Una vez que recibamos el paquete, se realizará la devolución del dinero a tu cuenta de Mercado Pago o lo verás reflejado en tu próximo resumen de la tarjeta de crédito.ENVÍOS¡Tu envío será gratis a partir de $90.000 COP!Nos encargaremos de despachar tu producto en cuanto tu pedido esté confirmado y podrás ver el avance de tu pedido a través del botón ""Seguir Envío"". TALLASEs importante que revises la Guía de Tallas antes de realizar la compra para asegurarte de estar eligiendo el producto adecuado. Para verla, haz clic donde dice “Guía de Tallas”. PREGUNTAS FRECUENTES • ¿Son productos originales? Somos Tienda Oficial de adidas. Todos nuestros productos son 100% originales. • ¿Hacen factura B2B? No, sólo realizamos factura a consumidor final. • Garantía: Todos nuestros productos cuentan con garantía de fábrica por 90 días. • ¿Se puede retirar los productos en tiendas? La tienda oficial de adidas en Mercado Libre solo realiza envíos al cliente. • ¿El producto está disponible? Sí, todos los productos publicados cuentan con inventario disponible. Podrás ver la cantidad en cada publicación, seleccionando la talla que buscas.",5,"Melo, lo que si queda corto es la definición de la pantalla, pero por el precio está bien. Execelente producto, potente y rápido."
Potátil V-series V14 14  Color Gris 24gb De Ram - 512gb Ssd - Intel Core I5,1699900,100,4.6,140,DISTRIMAK,"Fotografía profesional en tu bolsilloDescubre infinitas posibilidades para tus fotos con las 4 cámaras principales de tu equipo. Pon a prueba tu creatividad y juega con la iluminación, diferentes planos y efectos para obtener grandes resultados.Perfecta para los amantes del plano detalle. Su zoom óptico te ofrecerá la posibilidad de realizar acercamientos sin que tus capturas pierdan calidad. Experiencia visual increíbleMira tus series y películas favoritas con la mejor definición a través de su pantalla Dynamic AMOLED 2X de 6.8"". Disfruta de colores brillantes y detalles precisos en todos tus contenidos.Capacidad y eficienciaCon su potente procesador y memoria RAM de 12 GB tu equipo alcanzará un alto rendimiento con gran velocidad de transmisión de contenidos y ejecutará múltiples aplicaciones a la vez sin demoras.Desbloqueo facial y dactilarMáxima seguridad para que solo tú puedas acceder al equipo. Podrás elegir entre el sensor de huella dactilar para habilitar el teléfono en un toque, o el reconocimiento facial que permite un desbloqueo hasta un 30% más rápido.Batería de duración superior¡Desenchúfate! Con la súper batería de 5000 mAh tendrás energía por mucho más tiempo para jugar, ver series o trabajar sin necesidad de realizar recargas.",5,"Es lo que esperaba,, muy bueno. Exelente producto."
Closet Reve Beige Y Blanco Nevado Color Beige- Blanco,589900,25,4.8,496,Muebles Rta,"Sony, sin lugar a dudas es una de las marcas más reconocidas en el mundo por la fabricación de dispositivos de audio. Su gama de audífonos se caracteriza por brindar siempre una gran experencia de uso en sus usuarios y ofrecer una alta calidad en todos los componentes de sus reproductores. Esto hace que puedas notar un gran sonido desde su primer uso.El formato perfecto para tiEl diseño over-ear genera una comodidad insuperable gracias a sus suaves almohadillas. Al mismo tiempo, su sonido envolvente del más alto nivel se convierte en el protagonista de la escena.Bluetooth de última generaciónCon la versión de bluetooth 5.0 tienes un montón de beneficios para aprovechar. En comparación a su antecesor BT 4.2, obtendrás velocidades de transmisión de hasta 2.2 Mbps de datos y alcanzarás una distancia máxima de 200 metros de conexión. Pero una de las novedades más sobresalientes es que con su modo dual tendrás la posibilidad de reproducir audio al mismo tiempo en dos dispositivos diferentes.",5,"Soy talla 10 us en todo calzado adidas, sin embargo pedí media talla menos teniendo en cuenta los comentarios y efectivamente me quedó perfecto ya que su orma es más larga y grande. (pidan media menos a talla a la que normalmente usan).
Son súper cómodos, livianos, y lindos. Por el precio vale totalmente la pena. Excelente , estoy muy satisfecho con la compra. Se ajustan muy bien y son muy firmes en la elasticidad de los cordones, se siente como si caminara encima de una esponja de lavar platos 🤌🏻💪🏻."
Lavadora 12kg Electrolux Carga Superior Ewiw12f6usvs Color Gris 120v,1149900,100,5.0,5,Electroluxsa,"Fotografía profesional en tu bolsilloDescubre infinitas posibilidades para tus fotos con las 3 cámaras principales de tu equipo. Pon a prueba tu creatividad y juega con la iluminación, diferentes planos y efectos para obtener grandes resultados.Además, el dispositivo cuenta con cámara frontal de 16 Mpx para que puedas sacarte divertidas selfies o hacer videollamadas.Experiencia visual increíbleMira tus series y películas favoritas con la mejor definición a través de su pantalla AMOLED de 6.67"". Disfruta de colores brillantes y detalles precisos en todos tus contenidos.Capacidad y eficienciaCon su potente procesador y memoria RAM de 12 GB tu equipo alcanzará un alto rendimiento con gran velocidad de transmisión de contenidos y ejecutará múltiples aplicaciones a la vez sin demoras.Reconocimiento facial para mayor seguridadAcerca el dispositivo a tu rostro para desbloquearlo instantáneamente. Su precisa tecnología de reconocimiento facial te garantiza un acceso al equipo rápido y seguro.Batería de duración superior¡Desenchúfate! Con la súper batería de 5000 mAh tendrás energía por mucho más tiempo para jugar, ver series o trabajar sin necesidad de realizar recargas.Garantía del vendedor: 6 meses",5,"Excelente, superó mis expectativas!."
Tenis Cloudfoam Comfy Con Cordones Elásticos Ih2966 adidas,174965,1000,4.9,1014,Adidas,"¡CASA DE MUÑECAS: bienvenida a la Casa de los Sueños de Barbie®, donde los 360° de juego inspiran un sinfín de diversión! Esta versión actualizada de la casa de muñecas cuenta con un diseño abierto, funciones premium y más de 75 accesorios para crear historias. BARBIE® puede ser la anfitriona de la fiesta de piscina de sus sueños, con el espectacular tobogán en espiral de tres pisos de su casa. Mira cómo Barbie® y sus amigos se deslizan por el tobogán hacia la piscina. No incluye muñecas. CASA DE MUÑECAS que se convierte en un auténtico palacio de mascotas, ¡y hasta incluye una figura de perrito! Los amigos peludos se divertirán con el ascensor, la piscina, la cama y la casa para mascotas, además de en el tobogán y la puerta para perritos. Las niñas pueden ser anfitrionas de la mejor fiesta en la piscina con la Casa de los Sueños de Barbie®. Esta casa de muñecas de lujo tiene el tobogán más alto de la serie Casa de los Sueños de Barbie® hasta la fecha, con un diseño en espiral de tres pisos para una diversión sinfín bajo el sol. Inspira 360° de juego con un amplio y espacioso primer piso, tres niveles y 10 áreas interiores y exteriores. El set de juego también incluye más detalles para mascotas que nunca, como un tobogán para perritos y una piscina donde los amigos peludos pueden jugar con Barbie®. Además, la habitación adicional del último piso sorprende con una transformación para que duerman cuatro muñecas en la Casa de los Sueños. Con más de 75 accesorios y espacios personalizables que duplican la diversión, es un regalo excepcional para niñas de 3 años en adelante. Requiere montaje. No incluye muñecas. Los colores y las decoraciones pueden variar.Más detalles:Peso del empaque: 14.499 kgMedidas del empaque: 76.2x76.2x21.59 cm Modelo: HMX10Edad recomendada: 3 añosIncluye: Incluye una Casa de los Sueños de Barbie® con 3 pisos (requiere montaje) y más de 75 accesorios, incluido un perrito de mascota. Funciona con 3 pilas alcalinas AA (LR6) (no incluidas). No incluye muñecas. Los colores y las decoraciones pueden variar.Información de baterías:Tipo: AA (LR6) AlkalineNúmero de pilas: 3Pilas Incluidas: NoADVERTENCIA: Contiene o puede generar partes pequeñas que pueden causar asfixia. Montaje: Requiere montaje por un adulto",5,"Una retrochimba. Llevo al rededor de unas semanas probando los y la verdad me han sorprendido con la increíble calidad de audio y cancelación de ruido, antes tenía los wh-ch510 y me encantaban pero quería subir de nivel y la verdad la diferencia es brutal, tienen una comodidad muy buena, el control táctil responde rápido y con reproductores de música como tidal o qobuz se les logra sacar un sonido muy superior, la batería dura lo suficiente al rededor de 25 o 28 horas ya que suelo poner el volumen a tope. En resumen, si eres exigente con la calidad de audio y eres amante de la música estos son una exelente opción 😸🖤."
Samsung Galaxy S24 Ultra 5g Dual Sim 512 Gb Titanium Violet 12 Gb Ram,4489900,25,4.8,39,Sony,"Sony, sin lugar a dudas es una de las marcas más reconocidas en el mundo por la fabricación de dispositivos de audio. Su gama de audífonos se caracteriza por brindar siempre una gran experencia de uso en sus usuarios y ofrecer una alta calidad en todos los componentes de sus reproductores. Esto hace que puedas notar un gran sonido desde su primer uso.El formato perfecto para tiAl ser in-ear, mejoran la calidad del audio y son de tamaño pequeño para poder insertarse en tu oreja. Son ideales para acompañarte a la hora de hacer ejercicio mientras te sumerges en el mejor sonido envolvente.",5,"Muy buen colchón, punto medio entre colchón duro y blando, si eres una persona que está acostumbrada a colchones duros al principio te costará un poco en adaptarte pero con el tiempo notarás la comodidad. Realmente con precio de descuento siento que vale mucho la pena pagar lo que cuesta. En su precio full me quedan dudas, tal vez hay otros con un precio más bajo. Pero en cuanto a su comodidad, es increíblemente cómodo y estéticamente bonito y su peso es adecuado."
Audífonos Sony Noise Cancelling Bluetooth Hi-res Wh-1000xm4 Color Negro,813900,1000,4.8,770,EMMASLEEPSASEMMASLEEPSAS,"Sony, marca líder a nivel mundial en el ámbito de la fotografía, fabrica productos de alta performance, sin descuidar la elegancia en sus diseños.Fotos en todo momentoEsta cámara se adapta a tu ritmo de vida y te ofrece excelentes resultados en situaciones complejas. En situaciones con poca iluminación o cuando necesitas realizar tomas de escenas rápidas, la cámara sin espejos sortea todos los obstáculos para ofrecer fotografías nítidas y videos en alta calidad. Su peso ligero y resultados increíbles la convierten en tu compañera ideal.Fotos profesionales de noche y de díaCon el sensor CMOS la digitalización de las imágenes se realiza de manera interna, con gran rapidez y mediante transmisores más pequeños. Además, cuenta con una gran ventaja, el sensor es más sensible a la luz por lo que en condiciones de baja iluminación, obtienes excelentes tomas.Dinamismo en tus fotografías Con la gran velocidad de obturación de tu cámara podrás congelar cualquier movimiento en milésimas de segundo, desde una gota que cae hasta un auto de fórmula 1. Por el contrario, con la velocidad de obturación lenta podrás captar movimientos casi imperceptibles como las luces de la ciudad o de las estrellas en la noche. Diviértete jugando con tu cámara y obtén fotografías con gran dinamismo.Domina tu cámara y conviértete en profesionalCon tu cámara puedes enfocar manualmente objetos cercanos para asegurar nitidez y destacar unos sobre otros para conseguir fotos artísticas y profesionales. A su vez, con el modo autofoco lograrás fotografías espontáneas en cualquier momento y lugar.",5,"La compré para usarla como escritorio ya que no encontraba una mesa en madera con las dimensiones que necesitaba. La mesa es de buena calidad, es muy fácil de armar, tal vez los seguros que se ajustan a las patas pudieron ser más sofisticados pero los que trae cumplen su función. También se siente estable, no se tambalea ni se siente que se vaya a doblar por el peso. Solo una aclaración, de ancho no tiene 74 cm sino 70. Producto 100% recomendado. Es una mesa muy práctica, buena calidad con relación al precio, sin embargo, las medidas de la imagen no coinciden con las reales. Tiene un pequeño nivel en la unión central pero, es muy poco perceptible.
Muy estable."
Colchón Emma Hybrid Premium Doble | Memory Foam Y Resortes Color Blanco,1450990,100,4.8,38,EASYSHOP COLOMBIA,"Las cortinas 100% Blackout de CasaTua son tu solución para dejar la luz del día afuera de tu pieza todo el tiempo que quieras, ayudan a mantener la temperatura y eliminar la luz total del día y noche.- Disfruta de la apariencia de unas cortinas tradicionales que te permiten apagar la luz del día con solo cerrarlas.- Hermoso y elegante diseño: Ambas caras de la cortina son de la misma tela, el diseño de textura de lino vintage aporta un aspecto conciso y rústico a tu ventana.- Desde afuera de tu ventana se verá el mismo diseño que en interior, dando un efecto más sofisticado.- 100% Blackout, bloquea todo el ingreso de luz.- 2 Paños de 140 x 220 cm Textura Lino y gran caída, no te darás cuenta de qué hora es y le darás un toque elegante a tus ambientes.- Gracias a su NUEVA tecnología de tres capas de tela bondeadas que les da una caída ligera sin sacrificar el filtro de luz.- No son engomadas, son más duraderas y eso ES GENIAL.- Aíslan la temperatura para mantener el ambiente fresco en verano y te ayuda a conservar la temperatura interior por más tiempo en invierno, porque ahorrar en calefacción o ventilación a todos nos parece una buena idea.Escoge entre siete hermosos colores que harán juego perfecto con tus espacios.** Hacemos envíos dentro de Colombia según la cobertura de Mercado Libre y aceptamos todos los medios de pago disponibles en Mercadolibre, avalados por Mercadopago de forma rápida, segura y sin costos adicionales**---------------------------------------------------------------------------FICHA TÉCNICA- Materialidad: 3 telas (tipo lino, blackout y tipo lino)- Medidas: 220 cm de largo (incluye las argollas) x 140 cm de ancho por cada pieza- Medida argolla: 4 cm - Lavables a máquina con temperatura fría o media. - Cortinas 100% bloqueo luz exterior- Reducen el ingreso de sonido del exterior y ayudan a mantener la temperatura.- Colores: Gris Claro, Beige, Rosado, Gris Oscuro, Turquesa, Ivory y NegroSelecciona el color de tu preferencia al momento de agregar al carrito.---------------------------------------------------------------------------QUE VIENE EN LA CAJA- 2 Paños de Cortina 100% Blackout CasaTua**CASATUA® es distribuida en Colombia y Sudamérica exclusivamente por Builder Commerce SAS**-----------------------------------------------------------------------PREGUNTAS FRECUENTES¿Filtra la luz completamente, es 100% Blackout?>Sí, filtra la luz por completo ya que es 100% Blackout.¿Cuáles son las medidas disponibles?>Son medidas estándar, cada pieza mide 220 cm de alto por 140 cm de ancho.¿Cuáles son los medios de pago?> Aceptamos todos los medios de pago disponibles en Mercadolibre:- Tarjeta de Crédito hasta 48 cuotas dependiendo de tu banco- Tarjeta de Débito (Visa y Mastercard)- Con dinero en tu cuenta de Mercadopago- Efectivo en puntos de pago: Efecty- Transferencia desde tu banco: PSE**Todos estos medios de pago son avalados por Mercadopago de forma rápida, segura y sin costos adicionales**¿Hacen envíos a todo Colombia?> Hacemos envíos dentro de Colombia según la cobertura de Mercado Libre desde Bogotá. Te recomendamos ingresar tu dirección de despacho, para confirmar que llegue a tu ciudad.¿Cuánto se demora mi pedido?> Ingresa la dirección donde recibirás tu compra, para verificar la fecha de entrega. *El tiempo de despacho inicia luego de que tu pago esté aprobado*¿Puedo hacer mi retiro en tienda? > No, pero puedes seleccionar retiro en agencias de Mercado Libre y antes de finalizar tu compra y elegir el punto más cercano.¿El precio indicado incluye IVA?> Si, si incluye IVA el precio publicado.¿Cómo recibir factura a nombre de mi empresa si estoy registrado como persona natural?> Debes ingresar los datos de tu empresa al finalizar tu compra (luego de seleccionar el método de pago, en el Paso Revisa y confirma tu compra, dentro de Detalle de pago, haciendo click en ""Modificar"", al costado de datos para tu recibo de cobro"").¿Los productos tienen garantía?> Sí. Todos nuestros productos cuentan con 6 meses de garantía limitada contra defectos de fabricación. Independiente de nuestra garantía, Mercadolibre ofrece 30 días continuos para devolver tu compra sin importar el motivo.",5,"Si quieres comprar un pulso no te compliques buscando el nombre del reloj más bien busca pulsos de 22mm y tendrás opciónes de todo tipo.
La pantalla resiste más de un golpe, aunque ya le hizo un arañazo 😮‍💨, si trabajas con herramientas pesadas no te lo recomiendo, pero si tú trabajo es de oficina vale totalmente la pena, buena conexión, bateria alta duración, muy personalizable bastante intuitivo 10/10. Buen producto.
Hasta el momento se desempeña bien. Es una buena compra, se siente un smartwatch fluido y de calidad."
Mesa Portafolio Plegable 180cm Resistente Exterior Jardin Color Blanco,164600,5000,4.8,324,PIXELTECHBOGOTA,"Con tu consola Switch tendrás entretenimiento asegurado todos los días. Su tecnología fue creada para poner nuevos retos tanto a jugadores principiantes como expertos. Switch se convirtió en una de las consolas más versátiles del mercado gracias a su uso portátil y de sobremesa. Nintendo desarrolló este modelo con el objetivo de tener todas las comodidades de la tecnología de elite en un aparato portátil con el que podrás jugar y disfrutar de diverso contenido online.Los Joy-con cuentan con botones especiales para realizar print de pantalla. Además, posee una cámara infrarroja que puede leer la distancia respecto a los objetos e incluso detectar formas.Adaptada a tus necesidadesGuarda tus apps, fotos, videos y mucho más en el disco duro, que cuenta con una capacidad de 64 GB.Al contar con un procesador de 8 núcleos y uno gráfico, brinda una experiencia dinámica, respuestas ágiles, y transiciones fluidas de imágenes en alta definición.Por otro lado, tiene puerto USB y salida HDMI, que permiten conectar accesorios y cargar la batería de tu control mientras juegas.Vas a poder reproducir música, ver tus películas y series favoritas a través de las aplicaciones descargables.Garantía del vendedor: 6 meses",5,"Excelente. Muy bacano. Muy bueno, espero que me dure mucho."
Xiaomi Redmi Watch 5 Active Con Hyperos Bateria 18 Días Llamadas Ipx8 Negro,147348,100,5.0,63,CELUMOVIL STORE,"La selección de una silla adecuada es muy importante para prevenir futuras lesiones. Con esta silla Magnux, tendrás la comodidad y el bienestar que necesitas a lo largo de tu jornada. Además, puedes ubicarla en cualquier parte de tu casa u oficina ya que su diseño se adapta a múltiples entornos. ¡Dale a tus espacios un toque más moderno!Ergonómica y confiableEs muy común que adoptes una mala postura al sentarte y eso sin duda trae una serie de patologías que repercuten directamente en tu bienestar. Esta silla ergonómica es la indicada para quienes pasan mucho tiempo frente al escritorio, ya sea por trabajo o estudio, ya que su diseño se adapta a las formas del cuerpo y garantiza un reparto de presiones equilibrado. Crea un ambiente de trabajo sano y productivo.Cuida tu cuerpoLos apoyabrazos favorecerán tu postura al escribir y te ayudarán a incorporarte con mayor facilidad cuando quieras levantarte.Mantente en movimientoLas ruedas te van a permitir moverte y limpiar fácilmente tu espacio. Podrás trasladarla sin dificultad cuando lo necesites.Además, al ser giratoria te permitirá rotar el asiento 360º sin la necesidad de cambiar de posición o moverte del lugar en donde estás.",5, Todo bn.
Xiaomi Poco Poco X6 Pro 5g Dual Sim 512 Gb Negro 12 Gb Ram,1304900,1000,4.7,183,Barbie,"Fotografía profesional en tu bolsilloDescubre infinitas posibilidades para tus fotos con las 3 cámaras principales de tu equipo. Pon a prueba tu creatividad y juega con la iluminación, diferentes planos y efectos para obtener grandes resultados.Con su lente macro tendrás un enfoque definido de los detalles más minúsculos y podrás usarlo para obtener nítidas vistas panorámicas.Capacidad y eficienciaCon su potente procesador y memoria RAM de 8 GB tu equipo alcanzará un alto rendimiento con gran velocidad de transmisión de contenidos y ejecutará múltiples aplicaciones a la vez sin demoras.Desbloqueo facial y dactilarMáxima seguridad para que solo tú puedas acceder al equipo. Podrás elegir entre el sensor de huella dactilar para habilitar el teléfono en un toque, o el reconocimiento facial que permite un desbloqueo hasta un 30% más rápido.Batería de duración superior¡Desenchúfate! Con la súper batería de 5000 mAh tendrás energía por mucho más tiempo para jugar, ver series o trabajar sin necesidad de realizar recargas.",5,"Muy buen producto, buena calidad de sonido, gran duración de la batería y el modo transparencia es muy útil. Mi única queja sería con la cancelacion de ruido que no es buena no hay mucha diferencia entre estos audífonos y unos que no la tengan. El producto es muy bueno, lo único es que de vez en cuando el sonido se escucha por 1 solo audífono y luego ya por los 2. También la supresión de ruido no es tan eficaz y puede ser mejor."
Barbie Casa De Los Sueños Nueva Set De Juego Color Rosa,799900,100,4.5,8,SONY COLOMBIA,La tienda no incluyó una descripción del producto,5,"La mejor cámara híbrida del momento. Muy buena tanto para vídeo como para fotos. Me encanta!. Es todo lo que esperaba, excepto el proceso de pasar fotos y videos por medio de cable, es mas engorroso que cuando pasaba los archivos desde mi a6400, de resto esta todo ok. Excelente cámara."
"Audífonos Inalámbricos Sony Wf-c700n, Color Negro",282900,500,4.9,160,SONY COLOMBIA,"-Total Fresh FlowTus alimentos frescos por más tiempo, gracias al congelador sellado y sus columnas de aire que brindan ahorro de energía y la mejor conservación de alimentos.Comodidad para tu hogar-Tecnología Home Energy SaverTe da tranquilidad. Ahorra hasta un 67% de energía con el compresor Eco Advance y gas refrigerante R600a.Te da más frescura con el sistema Total Fresh Flow, mejora la distribución del aire y la conservación de tus alimentos.Frescura en tus alimentos-Lámina Black SteelEvita la corrosión y rayaduras de la puerta. Neutraliza rayos UV para fácil limpieza conservando una apariencia brillante.Eficiencia energética y utilidad-Cool ZoneCajón de enfriamiento rápido con multisalidas de aire especial para conservar lo que más utilizas. Se desliza fácilmente así podrás seleccionar tus alimentos especiales y compartir con toda la familia.Practicidad interior-Dispensador de aguaDisfruta de agua fresca al instante con el tanque de agua removible de 2 litros de capacidad de fácil limpieza. Adicional aprovecha el espacio del anaquel especial para medios.-Bandejas en Cristal TempladoElaboradas en cristal templado que resisten hasta 25 kgs. Nuestro gabinete cuenta con niveles para acomodar las bandejas de acuerdo a la necesidad y tamaño de los alimentos.-Ice TwistDisfruta de bebidas frescas para toda la familia gracias al Ice Twist, único con diseño de hielos estilo pitillo, ideal para colocarlos en termos o botellas de cuello pequeño.-Organización PrácticaMejor distribución de bandejas y anaqueles para almacenar todo tipo de alimentos y recipientes de cualquier tamaño incluso bebidas de 3 litros.",5,"Muy bonitas y la tela gruesa se ven full y tapan la luz. Recomendado. Bastante bien, cumple lo que promete. Mi ventana es un poco más ancha pero reduce demasiado la luz."
Cámara Profesional Sony Full Frame A7 Iv | Ilce-7m4 Color Negro,8885900,25,5.0,52,BUILDER CO,"Disfruta de la perfecta combinación de rendimiento y diseño con este ordenador Asus VivoBook Go 15 E1504GA. Encontrarás en él una excelente herramienta para tus trabajos de todos los días y para tus momentos de entretenimiento. Aprovecha la experiencia extraordinaria que la marca tiene para ofrecerte y optimiza la calidad de tus imágenes y videos.Pantalla con gran impacto visualSu pantalla LED de 15.6"" y 1920x1080px de resolución te brindará colores más vivos y definidos. Tus películas y series preferidas cobrarán vida, ya que ganarán calidad y definición en cada detalle.Eficiencia a tu alcanceSu procesador Intel Core i3 de 8 núcleos, está pensado para aquellas personas generadoras y consumidoras de contenidos. En base a esto, permite el desempeño necesario para la edición de fotografías o videos en programas básicos.Potente disco sólidoEl disco sólido de 512 GB hace que el equipo funcione a gran velocidad y por lo tanto te brinda mayor agilidad para operar con diversos programas.",5,"Me sorprendió que el cargador de la switch fuera de ésta región, no me tocó comprar un adaptador de corriente y la switch oled es tal cual las fotos, contento con la compra. Excelente producto es muy lindo lo malo es que tiene muy poca memoria pero se soluciona comprando una de más capacidad! del resto todo perfecto 100% recomendable."
Cortinas Blackout 100% Casatua 2paños 140x220 Lino Doble Faz,99990,500,4.5,3524,CELUMOVIL STORE,"Capacidad y eficienciaCon su potente procesador y memoria RAM de 8 GB tu equipo alcanzará un alto rendimiento con gran velocidad de transmisión de contenidos y ejecutará múltiples aplicaciones a la vez sin demoras.Batería de duración superior¡Desenchúfate! Con la súper batería de 6000 mAh tendrás energía por mucho más tiempo para jugar, ver series o trabajar sin necesidad de realizar recargas.Capacidad de almacenamiento ilimitadaOlvídate de borrar. Con su memoria interna de 256 GB podrás descargar todos los archivos y aplicaciones que necesites, guardar fotos y almacenar tus películas, series y videos favoritos para reproducirlos cuando quieras.",5,"Lo compré el lunes y el día miércoles en la mañana ya lo tenía en mi ubicación.
Es una caja pequeña y la silla es algo sencillo y de tamaño pequeño. Yo mido 180 y peso 100 kilos y está bien pero es algo para personas delgadas o de contextura media, ya que a mi me incomoda un poco las piernas y no me permite abrirlas mucho por qué los brazos no lo permiten.
Los acabados son normales pero bien trabajados no son de una alta calidad pero se ven bien.
Con relación al valor que pague (estaba en oferta) me parece una excelente opción para la oficina o el hogar.
Si la recomiendo si estás buscando algo bueno y a bajo costo. Me costó mucho armar la silla, la verdad llevaba mas de 40 minutos intentando, pero busque un video y la arme en 10 minutos.
Pará personas bajitas esta super super comoda."
Nintendo Switch Oled 64gb Color Blanco/negro,1189900,100,4.7,94,Www.big44sale.com,"Lavaplatos Moderno Acero Inoxidable De Lujo InteligenteSomos “La Llave del Norte”, una empresa con 40 años en el mercado colombiano y 5 años importando soluciones innovadoras y de alta calidad para baños y cocinas. Ubicados en Bogotá, distribuimos nuestros productos a nivel nacional, garantizando rapidez y eficiencia. Nos destacamos por nuestro compromiso con la excelencia, estrictos controles de calidad, y un equipo de atención al cliente siempre disponible para resolver tus dudas y asegurar tu satisfacción.Descripción Este lavaplatos moderno de lujo de acero inoxidable de la marca La Llave del Norte es la elección perfecta para tu cocina. Con un acabado acetinado/mate y fabricado con acero inoxidable 304 de alta calidad, garantiza durabilidad y resistencia a la corrosión. Su diseño elegante y funcional se adapta a cualquier estilo de cocina, brindando un toque de sofisticación.Especificaciones- Profundidad: 25 mm- Longitud: 75 cm- Ancho: 46 mm- Modelo: 7546Ai de la línea Int7546n- Instalación: Sobre mesada Características1. Fabricado en acero inoxidable 304 de alta calidad.2. Acabado acetinado/mate para un toque sofisticado.3. Diseño elegante y funcional.4. Fácil instalación sobre mesada.Accesorios incluidos- Jabonera- Llave de dispensador- Dos chorros posteriores (tipo cascada y tipo lluvia)- Grifería extraíble con cabezal de cambio de chorro- Lava-vasos- Canastillas auxiliares- Tabla de picar- Desagüe completo tipo guayaCuidado / Modos de usoLimpia el lavaplatos regularmente con un paño suave y un limpiador no abrasivo para mantener su brillo y durabilidad. Evita el uso de productos químicos fuertes que puedan dañar el acabado.1. ¿Es difícil de instalar? No, su instalación sobre mesada facilita su colocación en cualquier cocina sin necesidad de realizar complicadas modificaciones.2. ¿De qué material está hecho? Está fabricado con acero inoxidable 304 de alta calidad.3. ¿Qué incluye el paquete? Incluye jabonera, llave de dispensador, dos chorros posteriores (tipo cascada y tipo lluvia), grifería extraíble con cabezal de cambio de chorro, lava-vasos, canastillas auxiliares, tabla de picar y desagüe completo tipo guaya.4. ¿Cómo se limpia? Limpia el lavaplatos con un paño suave y un limpiador no abrasivo para mantener su brillo y durabilidad.Garantía del vendedor: 1 años",5,Calidad precio 🫵 9/10 por que 10 es perfecto. 
